State Bucket,Draw Call #,GPUTime (ms),State Hash
SB 0,148,111.384265,
glClear,1,0.014963,<hash><Depth><Enabled>1</Enabled><Attachment>0</Attachment></Depth><FBO>0</FBO></hash>
glClear,2,0.112889,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO></hash>
glDrawElements,3,0.04726,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,4,0.005629,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,5,0.002371,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,6,0.038074,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,7,0.056296,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,8,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,9,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,10,0.008889,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,11,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,12,0.005185,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,13,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,14,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,15,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,16,0.000148,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,17,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,18,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,19,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,20,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,21,0.000445,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,22,0.015852,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,23,0.008148,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,24,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,25,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,26,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,27,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
glDrawElements,28,0,<hash><Depth><Enabled>1</Enabled><Attachment>1</Attachment></Depth><FBO>1</FBO><FS>34</FS><GS>0x0000000000000000</GS><Program>5</Program><Stencil><Enabled>0</Enabled><Attachment>0</Attachment></Stencil><TCS>0x0000000000000000</TCS><TES>0x0000000000000000</TES><VS>32</VS></hash>
